Viral ID,Line,Sex,Infection Day,Lifespan,Mean Viral Titre per Well,Viral Titre per Well SD,Viral Titre per Fly,log10(Viral Titre per Fly +1),Ct_Rep1,Ct_Rep2,Ct_Mean,Quantity_Rep1,Quantity_Rep2
75,818,Female,14/12/2015,12,7.498657227,0.902921714,4686.660767,3.670956175,26.29828262,26.56200027,16.1886344,8.137119293,6.86019516
76,818,Female,14/12/2015,10,3417.108887,1846.806852,2135693.054,6.329539039,20.94880867,18.53189468,19.74035168,4722.998535,2111.219238
77,818,Female,14/12/2015,9,0.714013547,0.033386247,446.2584669,2.650558571,26.19199562,26.2804203,23.73306656,0.737621188,0.690405905
78,818,Female,14/12/2015,13,0,0,0,0,Undetermined,Undetermined,26.2804203,0,0
79,818,Female,14/12/2015,11,0.01242198,0.01453494,7.7637375,0.942689361,33.62405396,36.76532364,33.62405396,0.022699734,0.002144225
80,379,Female,14/12/2015,12,0.400100723,0.136108843,250.0629519,2.399782631,31.37739944,30.61929131,34.07136154,0.303857237,0.496344209
81,379,Female,14/12/2015,13,0.017804646,0.005524974,11.12790375,1.083785742,34.7256546,35.35013199,32.67247295,0.021711392,0.0138979
82,379,Female,14/12/2015,11,1.116085261,0.403415346,697.5532881,2.844199541,27.76660538,28.5271225,31.55836868,1.401342988,0.830827534
83,379,Female,14/12/2015,16,0.035969313,0.04451163,22.48082063,1.370713271,37.09799957,33.21456528,32.81256104,0.004494837,0.067443788
84,379,Female,14/12/2015,14,0.198893618,0.279700379,124.3085113,2.09798057,39.20549011,30.39253998,36.21002769,0.001115583,0.396671653
85,379,Female,14/12/2015,18,297.919281,0.076778745,186199.5506,5.269980961,21.17997742,21.1794548,25.7862587,297.8649902,297.9735718
87,379,Female,14/12/2015,12,9692095.5,323782.0738,6057559688,9.782297702,8.13768959,8.071246147,14.6585722,9463147,9921044
88,379,Female,14/12/2015,14,0.256221745,0.201990789,160.1385906,2.207199561,32.27141953,30.38356781,20.17133284,0.113392688,0.399050802
89,379,Female,14/12/2015,14,0.664088309,0.320086938,415.0551931,2.619150947,30.55065346,31.65467262,30.46711063,0.890423954,0.437752664
90,138,Female,14/12/2015,9,5.966759354,8.310416249,3729.224596,3.571734981,32.72876358,25.90419769,32.1917181,0.09040767,11.84311104
91,138,Female,14/12/2015,18,0.025373404,0.033622014,15.8583775,1.226815775,36.40269089,31.84619331,31.15344429,0.00159905,0.049147759
92,138,Female,14/12/2015,11,0.287758507,0.057427979,179.8490669,2.257316272,30.23283195,30.65803146,31.03951263,0.32836622,0.247150794
93,138,Female,14/12/2015,13,0.181718342,0.010512573,113.5739638,2.059085938,31.80994797,31.69535637,31.23398972,0.174284831,0.189151853
94,138,Female,14/12/2015,14,14.59527969,0.337650879,9122.049806,3.960140046,24.29447365,24.25094986,27.99491501,14.35652447,14.83403492
95,138,Female,14/12/2015,11,96.46037674,13.29034579,60287.73546,4.780236175,21.88202667,21.58950615,23.06648827,87.06268311,105.8580704
96,138,Female,14/12/2015,9,0.893196732,0.177319167,558.2479575,2.747604407,31.39990044,30.96710777,26.49470329,0.767813146,1.018580317
97,138,Female,14/12/2015,11,8.489390373,0.437584091,5305.868983,3.724838366,27.66623878,27.76878357,29.31667328,8.798809052,8.179971695
98,138,Female,14/12/2015,18,2.718816996,0.642412043,1699.260623,3.230515497,29.10035896,29.57466698,28.43457127,3.173070908,2.264563084
99,138,Female,14/12/2015,19,0.066399985,0.090339545,41.49999063,1.628388834,32.68574905,38.78092575,31.13020802,0.13027969,0.002520281
