Vial,Line,Sex,pastrel_SNP,Infection_Duration,Infection_Day,Collection_Day,Viral Load,Viral Load per Fly,Threshold_InfectionPA,Virus Shed,Virus Shed per Fly,SheddingPA,Shed Plate,Shed Well
619,380,f,T,1,3,4,13.19021797,4946.331739,1,0,0,0,11,E8
620,380,f,T,1,1,2,28.40131378,10650.49267,1,0,0,0,6,G5
621,380,f,T,1,2,3,15.21497822,5705.616832,1,0,0,0,18,C6
658,75,f,C,2,2,4,0,0,0,0.841139853,210.2849633,1,4,D5
659,75,f,C,3,3,6,NA,NA,NA,0.092457324,23.11433107,1,10,E8
660,75,f,C,1,1,2,NA,NA,NA,0.115624301,28.90607528,1,5,A8
661,75,f,C,3,3,6,0,0,0,NA,NA,NA,NA,NA
662,75,f,C,3,1,4,0,0,0,0.351311684,87.82792091,1,NA,NA
663,75,f,C,3,2,5,0,0,0,0,0,0,18,H6
664,75,f,C,3,3,6,4353.90332,1632713.745,1,NA,NA,NA,8,A6
665,75,f,C,3,1,4,0,0,0,0,0,0,13,C5
666,75,f,C,3,2,5,17.20692825,6452.598095,1,0,0,0,11,B9
667,75,f,C,3,3,6,0,0,0,0,0,0,15,F6
668,75,f,C,3,1,4,0.294465542,110.4245782,1,0,0,0,10,H10
669,75,f,C,3,2,5,0,0,0,1.182907224,295.7268059,1,4,E8
670,75,f,C,3,3,6,7072.304688,2652114.258,1,0,0,0,19,G7
671,75,f,C,2,2,4,0,0,0,0,0,0,13,C10
672,75,f,C,2,3,5,0,0,0,0,0,0,17,D4
673,75,f,C,2,1,3,0,0,0,3.094867468,773.716867,1,5,G9
674,75,f,C,2,2,4,0,0,0,0,0,0,9,H5
675,75,f,C,2,3,5,4753.962402,1782735.901,1,0,0,0,13,C6
676,75,f,C,2,1,3,0,0,0,0,0,0,9,G7
677,75,f,C,2,2,4,0,0,0,0,0,0,15,A6
678,75,f,C,2,3,5,0,0,0,1.453218222,363.3045554,1,13,H5
679,75,f,C,2,1,3,0,0,0,0,0,0,11,F10
680,75,f,C,2,2,4,0,0,0,0,0,0,17,H7
681,75,f,C,2,3,5,0,0,0,1.249262452,312.315613,1,4,G5
682,75,f,C,1,1,2,6.194335461,2322.875798,1,0,0,0,18,A5
683,75,f,C,1,2,3,18.82114601,7057.929754,1,0.107364766,26.84119157,1,NA,NA
684,75,f,C,1,3,4,18.15092087,6806.595325,1,0,0,0,11,E5
685,75,f,C,1,1,2,NA,NA,NA,0,0,0,12,E8
686,75,f,C,1,2,3,NA,NA,NA,0,0,0,17,G5
687,75,f,C,1,3,4,0,0,0,0,0,0,12,E9
688,75,f,C,1,1,2,NA,NA,NA,0.658238351,164.5595878,1,2,F4
689,75,f,C,1,2,3,0.054324735,20.37177561,1,0,0,0,18,G7
690,75,f,C,1,3,4,1.307190537,490.1964515,1,0,0,0,18,B7
691,75,f,C,1,1,2,0,0,0,0,0,0,18,A8
692,75,f,C,1,2,3,NA,NA,NA,0.109147072,27.28676796,1,2,E3
760,502,f,C,3,3,6,0,0,0,0,0,0,9,G9
761,502,f,C,2,2,4,NA,NA,NA,0,0,0,9,E9
762,502,f,C,1,1,2,0,0,0,0.391672641,97.91816026,1,5,D6
763,502,f,C,3,1,4,8.71678257,3268.793464,1,0,0,0,16,C7
764,502,f,C,3,2,5,0,0,0,0,0,0,11,E6
765,502,f,C,3,3,6,0,0,0,0,0,0,18,H4
766,502,f,C,3,1,4,0,0,0,0,0,0,18,B9
767,502,f,C,3,2,5,0,0,0,0,0,0,18,C5
768,502,f,C,3,3,6,0,0,0,0,0,0,12,E5
769,502,f,C,3,1,4,0,0,0,0,0,0,12,E6
770,502,f,C,3,2,5,0,0,0,1.192169309,298.0423272,1,5,G7
771,502,f,C,3,3,6,0,0,0,2.167050362,541.7625904,1,NA,NA
772,502,f,C,3,1,4,0,0,0,0,0,0,17,F6
773,502,f,C,3,2,5,0,0,0,0.200338885,50.0847213,1,11,D10
774,502,f,C,3,3,6,0,0,0,0,0,0,18,C8
775,502,f,C,2,3,5,0,0,0,3.309844255,827.4610639,1,20,H12
776,502,f,C,2,1,3,NA,NA,NA,0,0,0,17,B7
777,502,f,C,2,2,4,NA,NA,NA,3.61949563,904.8739076,1,NA,NA
778,502,f,C,2,3,5,0,0,0,1.663764715,415.9411788,1,21,B9
779,502,f,C,2,1,3,0,0,0,3.93505311,983.7632775,1,NA,NA
780,502,f,C,2,2,4,0,0,0,0,0,0,12,E7
781,502,f,C,2,3,5,NA,NA,NA,0.643020093,160.7550234,1,2,E9
782,502,f,C,2,1,3,NA,NA,NA,0,0,0,18,A7
783,502,f,C,2,2,4,0,0,0,0.929421186,232.3552966,1,NA,NA
784,502,f,C,2,3,5,NA,NA,NA,0,0,0,9,B6
785,502,f,C,1,2,3,0,0,0,0,0,0,17,H4
786,502,f,C,1,3,4,0,0,0,0,0,0,18,D10
787,502,f,C,1,1,2,0,0,0,0,0,0,18,B12
788,502,f,C,1,2,3,0,0,0,0,0,0,20,C12
789,502,f,C,1,3,4,2.558088541,959.2832029,1,0,0,0,16,D9
790,502,f,C,1,1,2,0,0,0,0,0,0,3,B9
791,502,f,C,1,2,3,0,0,0,0,0,0,21,B7
792,502,f,C,1,3,4,0,0,0,0,0,0,16,G8
793,502,f,C,1,1,2,0.340568513,127.7131923,1,0,0,0,15,A7
